UTM_N,UTM_E,siteID.x,individualID,taxonID.x,collectDate, plotID.x,domainID.x,utmZone
404849.827,3285786.296,OSBS,93,NA,NA,NA,NA,17N
403810.1078,3286817.163,OSBS,140,NA,NA,NA,NA,17N
404058.5543,3286436.002,OSBS,141,NA,NA,NA,NA,17N
404087.0266,3286352.618,OSBS,146,NA,NA,NA,NA,17N
404221.6202,3286475.195,OSBS,154,NA,NA,NA,NA,17N
404923.6715,3284493.534,OSBS,161,NA,NA,NA,NA,17N
404877.4359,3284433.176,OSBS,171,NA,NA,NA,NA,17N
404852.9717,3284401.973,OSBS,172,NA,NA,NA,NA,17N
404733.1261,3284469.563,OSBS,174,NA,NA,NA,NA,17N
402494.889,3286152.16,OSBS,192,NA,NA,NA,NA,17N
402512.2968,3286181.712,OSBS,196,NA,NA,NA,NA,17N
402515.2871,3286186.412,OSBS,197,NA,NA,NA,NA,17N
402551.7688,3286266.853,OSBS,198,NA,NA,NA,NA,17N
402450.7512,3286274.162,OSBS,201,NA,NA,NA,NA,17N
402378.9992,3286271.368,OSBS,206,NA,NA,NA,NA,17N
402482.8781,3286335.26,OSBS,208,NA,NA,NA,NA,17N
402439.2995,3286316.462,OSBS,211,NA,NA,NA,NA,17N
402409.2439,3286237.849,OSBS,212,NA,NA,NA,NA,17N
406289.5978,3287097.486,OSBS,219,NA,NA,NA,NA,17N
402554.3014,3284336.099,OSBS,231,NA,NA,NA,NA,17N
404958.385,3284480.817,OSBS,238,NA,NA,NA,NA,17N
406184.0085,3287077.379,OSBS,239,NA,NA,NA,NA,17N
406266.8017,3287066.432,OSBS,242,NA,NA,NA,NA,17N
406332.5113,3287076.881,OSBS,245,NA,NA,NA,NA,17N
406343.458,3287076.568,OSBS,247,NA,NA,NA,NA,17N
402631.8048,3284401.074,OSBS,249,NA,NA,NA,NA,17N
401527.7348,3285847.253,OSBS,257,NA,NA,NA,NA,17N
403973.0021,3286441.849,OSBS,258,NA,NA,NA,NA,17N
404011.3279,3286419.909,OSBS,259,NA,NA,NA,NA,17N
404005.1181,3286404.449,OSBS,260,NA,NA,NA,NA,17N
407696.537,3285426.947,OSBS,294,NA,NA,NA,NA,17N
400773.2042,3285649.134,OSBS,305,NA,NA,NA,NA,17N
400742.393,3285635.928,OSBS,312,NA,NA,NA,NA,17N
402446.7343,3286283.853,OSBS,314,NA,NA,NA,NA,17N
402520.8215,3286304.029,OSBS,315,NA,NA,NA,NA,17N
400735.1266,3285514.956,OSBS,316,NA,NA,NA,NA,17N
401536.5003,3285862.139,OSBS,319,NA,NA,NA,NA,17N
401536.3781,3285816.882,OSBS,320,NA,NA,NA,NA,17N
400720.7908,3285560.582,OSBS,325,NA,NA,NA,NA,17N
400693.1182,3285532.095,OSBS,326,NA,NA,NA,NA,17N
406847.1145,3283740.552,OSBS,327,NA,NA,NA,NA,17N
407488.4499,3286293.388,OSBS,328,NA,NA,NA,NA,17N
406876.4264,3284813.724,OSBS,329,NA,NA,NA,NA,17N
404841.369,3285835.761,OSBS,330,NA,NA,NA,NA,17N
402336.0859,3286355.556,OSBS,331,NA,NA,NA,NA,17N
402551.2675,3286277.617,OSBS,332,NA,NA,NA,NA,17N
402463.0597,3286253.439,OSBS,333,NA,NA,NA,NA,17N
402465.2189,3286263.741,OSBS,334,NA,NA,NA,NA,17N
402345.0949,3286331.502,OSBS,335,NA,NA,NA,NA,17N
402380.0204,3286335.469,OSBS,336,NA,NA,NA,NA,17N
