individualID,taxonID.x,collectDate,siteID.x,plotID.x,domainID.x,utmZone,UTM_E,UTM_N
NEON.PLA.D05.STEI.02177,ACSA3,2017-08-29T20:41:00Z,STEI,STEI_002,D05,16N,259678.7535045977,5076179.446381122
NEON.PLA.D05.STEI.02147,ACSA3,2017-08-29T22:19:00Z,STEI,STEI_001,D05,16N,259718.13863447774,5077845.824969655
NEON.PLA.D05.STEI.01538,TIAM,2017-08-29T22:32:00Z,STEI,STEI_001,D05,16N,259708.89976642,5077847.03756138
NEON.PLA.D07.GRSM.02877,PIRU,2016-06-06T20:26:00Z,GRSM,GRSM_025,D07,17N,275722.5121425345,3941283.477605246
NEON.PLA.D07.GRSM.02867,BETUL,2016-06-06T20:50:00Z,GRSM,GRSM_025,D07,17N,275716.73208396195,3941263.6178544494
NEON.PLA.D07.GRSM.02771,ABIES,2016-06-06T21:00:00Z,GRSM,GRSM_025,D07,17N,275715.8153563605,3941273.861954565
NEON.PLA.D07.GRSM.02637,ACRU,2016-06-07T11:05:00Z,GRSM,GRSM_003,D07,17N,276052.8264760701,3950920.4699783004
NEON.PLA.D07.GRSM.02631,ACRU,2016-06-07T11:35:00Z,GRSM,GRSM_003,D07,17N,276045.0415452187,3950911.9042128567
NEON.PLA.D07.GRSM.02661,HALES,2016-06-07T11:52:00Z,GRSM,GRSM_003,D07,17N,276055.92122444656,3950911.917809759
NEON.PLA.D07.GRSM.02983,ABIES,2016-06-07T18:40:00Z,GRSM,GRSM_016,D07,17N,275807.95898302156,3941625.0420161895
NEON.PLA.D07.GRSM.02896,BETUL,2016-06-07T18:55:00Z,GRSM,GRSM_016,D07,17N,275805.86545349157,3941612.8780639917
NEON.PLA.D07.GRSM.02984,PIRU,2016-06-07T19:52:00Z,GRSM,GRSM_016,D07,17N,275810.0806275502,3941621.2502277098
NEON.PLA.D07.ORNL.00848,ACRU,2017-05-30T14:09:00Z,ORNL,ORNL_003,D07,16N,749747.9424136755,3983718.3981725816
NEON.PLA.D07.ORNL.08004Z,QUAL,2017-05-30T14:50:00Z,ORNL,ORNL_003,D07,16N,749735.0664366629,3983710.267597048
NEON.PLA.D07.ORNL.01487,PINUS,2017-05-30T15:21:00Z,ORNL,ORNL_009,D07,16N,749951.3585324147,3984675.8210191987
NEON.PLA.D07.ORNL.01544,NYSY,2017-05-30T15:22:00Z,ORNL,ORNL_009,D07,16N,749954.0752746124,3984678.891737654
NEON.PLA.D07.ORNL.00951,QUMO4,2017-05-31T14:07:00Z,ORNL,ORNL_002,D07,16N,751306.499969792,3985570.3273224942
NEON.PLA.D07.ORNL.01558,PINUS,2017-06-01T14:18:00Z,ORNL,ORNL_001,D07,16N,746290.4989279093,3979659.9132480957
NEON.PLA.D07.ORNL.01581,ACRU,2017-06-01T14:21:00Z,ORNL,ORNL_001,D07,16N,746282.9541627627,3979660.37107364
