individualID,band_site
NEON.PLA.D07.ORNL.04906,ORNL
NEON.PLA.D07.ORNL.04841,ORNL
NEON.PLA.D07.ORNL.04848,ORNL
NEON.PLA.D08.TALL.02017,TALL
NEON.PLA.D07.ORNL.01860,ORNL
NEON.PLA.D07.ORNL.01907,ORNL
NEON.PLA.D07.ORNL.01875,ORNL
NEON.PLA.D07.ORNL.01544,ORNL
NEON.PLA.D07.ORNL.00951,ORNL
NEON.PLA.D07.ORNL.00848,ORNL
NEON.PLA.D07.ORNL.08004Z,ORNL
NEON.PLA.D07.ORNL.01198,ORNL
NEON.PLA.D07.ORNL.01181,ORNL
NEON.PLA.D07.ORNL.01158,ORNL
NEON.PLA.D07.ORNL.01487,ORNL
NEON.PLA.D08.TALL.00925,TALL
NEON.PLA.D08.TALL.00964,TALL
NEON.PLA.D08.TALL.00922,TALL
NEON.PLA.D07.ORNL.01558,ORNL
NEON.PLA.D07.ORNL.00971,ORNL
NEON.PLA.D07.ORNL.00997,ORNL
NEON.PLA.D07.ORNL.01581,ORNL
NEON.PLA.D07.ORNL.01563,ORNL
NEON.PLA.D14.JORN.02689,JORN
NEON.PLA.D14.JORN.02690,JORN
NEON.PLA.D14.JORN.02691,JORN
NEON.PLA.D14.JORN.02693,JORN
NEON.PLA.D14.JORN.02692,JORN
NEON.PLA.D14.JORN.02683,JORN
NEON.PLA.D14.JORN.02684,JORN
NEON.PLA.D14.JORN.02685,JORN
NEON.PLA.D07.GRSM.02771,GRSM
NEON.PLA.D07.GRSM.02983,GRSM
NEON.PLA.D07.GRSM.02631,GRSM
NEON.PLA.D07.GRSM.02637,GRSM
NEON.PLA.D07.GRSM.02867,GRSM
NEON.PLA.D07.GRSM.02896,GRSM
NEON.PLA.D07.GRSM.02661,GRSM
NEON.PLA.D07.GRSM.02877,GRSM
NEON.PLA.D07.GRSM.02984,GRSM
NEON.PLA.D14.JORN.00027,JORN
NEON.PLA.D14.JORN.02682,JORN
NEON.PLA.D14.JORN.02595,JORN
NEON.PLA.D14.JORN.02596,JORN
NEON.PLA.D14.JORN.02681,JORN
NEON.PLA.D14.JORN.02957,JORN
NEON.PLA.D14.JORN.02594,JORN
NEON.PLA.D13.MOAB.00396,MOAB
NEON.PLA.D13.MOAB.00398,MOAB
NEON.PLA.D13.MOAB.00503,MOAB
NEON.PLA.D14.JORN.02598,JORN
NEON.PLA.D14.JORN.02600,JORN
NEON.PLA.D05.STEI.02147,CHEQ
NEON.PLA.D05.STEI.02177,CHEQ
NEON.PLA.D05.STEI.01538,CHEQ
NEON.PLA.D14.JORN.02599,JORN
